group_name;equipment_group;spec_set;detail;code;type;unit;value_direction;unit_perceived_value;relative_value;is_baseline;notes
Dimensions;Length (mm);Length;Length;DM_0001;numeric;mm;Positive;0;0;;
Dimensions;Width (mm);Width;Width;DM_0002;numeric;mm;Positive;0;0;;
Dimensions;Height (mm);Height;Height;DM_0003;numeric;mm;Positive;0;0;;
Dimensions;Wheelbase (mm);Wheelbase;Wheelbase;DM_0004;numeric;mm;Positive;0;0;;
Dimensions;Ground clearance (mm);Ground clearance;Ground clearance;DM_0005;numeric;mm;Positive;0;0;;
Dimensions;Cargo space;Trunk;Trunk;DM_0006;numeric;L;Positive;0;0;;
Dimensions;Cargo space;Total;Total;DM_0007;numeric;L;Positive;0;0;;
Dimensions;Weight;Curb weight;Curb weight;DM_0008;numeric;kg;Negative;0;0;;
Dimensions;Weight;Gross vehicle weight;Gross vehicle weight;DM_0009;numeric;kg;Negative;0;0;;
Dimensions;Weight;Load capacity;Load capacity;DM_0010;numeric;kg;Positive;0;0;;
Dimensions;Weight;Maximum towing capacity;Maximum towing capacity;DM_0011;numeric;kg;Positive;0;0;;
Powertrain;Engine type;Engine tech;ICE;PW_1015;scale;;;0;0;true;
Powertrain;Engine type;Engine tech;MHEV;PW_0001;scale;;;0;7130;;vs. conventional
Powertrain;Engine type;Engine tech;HEV;PW_0002;scale;;;0;14250;;vs. conventional
Powertrain;Engine type;Engine tech;PHEV;PW_0003;scale;;;0;28500;;vs. conventional
Powertrain;Engine type;Engine tech;EV;PW_0004;scale;;;0;34200;;vs. conventional
Powertrain;Combustion engine;Displacement;Displacement;PW_0005;numeric;cc;Positive;0;0;;
Powertrain;Combustion engine;Turbocharger;Aspirated;PW_1008;scale;;;0;0;true;baseline
Powertrain;Combustion engine;Turbocharger;Turbocharger;PW_0006;scale;;;0;2600;;vs. conventional
Powertrain;Combustion engine;Turbocharger;Turbocharger with direct fuel injection;PW_0007;scale;;;0;2600;;vs. conventional
Powertrain;Combustion engine;Cylinders;Cylinders;PW_0008;numeric;unit;Positive;0;0;;
Powertrain;Combustion engine;Engine type;Inline cylinders;PW_0009;scale;;;0;0;true;
Powertrain;Combustion engine;Engine type;V cylinders;PW_0010;scale;;;0;50;;
Powertrain;Combustion engine;Max power;Max power;PW_0011;numeric;cv;Positive;0;30;;
Powertrain;Combustion engine;Max torque;Max torque;PW_0012;numeric;Nm;Positive;0;20;;
Powertrain;Combustion engine;Rotation max power;Rotation max power;PW_0014;numeric;RPM;Negative;0;0;;
Powertrain;Combustion engine;Rotation max torque;Rotation max torque;PW_0015;numeric;RPM;Negative;0;0;;
Powertrain;Transmission;Transmission type;MT;PW_0016;scale;;;0;0;true;vs. MT (4AT 4000/ 500 per speed)
Powertrain;Transmission;Transmission type;AT;PW_0045;scale;;;0;4280;;vs. MT (4AT 4000/ 500 per speed)
Powertrain;Transmission;Transmission type;DCT;PW_0017;scale;;;0;5990;;vs. MT (6DCT 6000/ 500 per speed)
Powertrain;Transmission;Transmission type;CVT;PW_0018;scale;;;0;5180;;vs. MT
Powertrain;Transmission;Transmission type;DHT;PW_0019;scale;;;0;7000;;vs. MT
Powertrain;Transmission;# of Speed;# of Speed;PW_0020;numeric;unit;Positive;500;0;;R$500 per speed
Powertrain;Electric engine;Permanent Magnet Synchronous Motor (PMSM);Permanent Magnet Synchronous Motor (PMSM);PW_0021;binary;;;0;0;;
Powertrain;Electric engine;FR Max power;FR Max power;PW_0022;numeric;cv;Positive;0;0;;
Powertrain;Electric engine;FR Max torque;FR Max torque;PW_0023;numeric;Nm;Positive;0;0;;
Powertrain;Electric engine;RR Max power;RR Max power;PW_0025;numeric;cv;Positive;0;0;;
Powertrain;Electric engine;RR Max torque;RR Max torque;PW_0026;numeric;Nm;Positive;0;0;;
Powertrain;Battery;Battery capacity;Battery capacity;PW_0028;numeric;kWh;Positive;500;0;;
Powertrain;Battery;Max charger AC;Max charger AC;PW_0029;numeric;kW;Positive;0;10;;
Powertrain;Battery;Max charger DC;Max charger DC;PW_0030;numeric;kW;Positive;0;10;;
Powertrain;Battery;V2L function;V2L function;PW_0031;binary;;;0;100;;
Powertrain;Combined performance;Total max power;Total max power;PW_0032;numeric;cv;Positive;30;0;;
Powertrain;Combined performance;Total max torque;Total max torque;PW_0033;numeric;Nm;Positive;0;0;;
Powertrain;Combined performance;Power x weight;Power x weight;PW_0035;numeric;kg/cv;Negative;0;0;;
Powertrain;Combined performance;Torque x weight;Torque x weight;PW_0036;numeric;kg/Nm;Negative;0;0;;
Powertrain;Combined performance;0-100 km/h acceleration;0-100 km/h acceleration;PW_0037;numeric;s;Negative;0;0;;
Powertrain;Combined performance;Max speed;Max speed;PW_0038;numeric;km/h;Positive;0;0;;
Powertrain;Traction;Traction;FWD;PW_0039;scale;;;0;0;true;
Powertrain;Traction;Traction;RWD;PW_0040;scale;;;0;2850;;vs. 2WD
Powertrain;Traction;Traction;AWD;PW_0041;scale;;;0;8100;;vs. 2WD
Powertrain;Suspension;FR Suspension;FR McPherson;PW_0042;binary;;;0;0;;
Powertrain;Suspension;RR Suspension;RR McPherson;PW_0043;scale;;;0;0;true;
Powertrain;Suspension;RR Suspension;RR Multilink;PW_0044;scale;;;0;500;;
Ownership;Inmetro;FE;FE;OW_0001;numeric;MJ/Km;Negative;0;0;;
Ownership;Inmetro;Urban (gasoline);Urban (gasoline);OW_0002;numeric;km/L;Positive;0;0;;
Ownership;Inmetro;Road (gasoline);Road (gasoline);OW_0003;numeric;km/L;Positive;0;0;;
Ownership;Inmetro;Urban (ethanol);Urban (ethanol);OW_0004;numeric;km/L;Positive;0;0;;
Ownership;Inmetro;Road (ethanol);Road (ethanol);OW_0005;numeric;km/L;Positive;0;0;;
Ownership;Fuel tank;Fuel tank;Fuel tank;OW_0006;numeric;L;Positive;0;0;;
Ownership;Autonomy;E-Range;E-Range;OW_0007;numeric;km;Positive;0;0;;
Ownership;Autonomy;TTL autonomy;TTL autonomy;OW_0008;numeric;km;Positive;0;0;;
Ownership;Total warranty;Total warranty;Total warranty;OW_0009;numeric;years;Positive;0;860;;
Ownership;Electric system warranty;Electric system warranty;Electric system warranty;OW_0010;numeric;years;Positive;0;0;;
Exterior;Rims;Alloy Wheels;Alloy Wheels;EX_0001;binary;;;0;720;;vs. Steel
Exterior;Rims;Wheels diameter;Wheels diameter;EX_0002;numeric;inch;Positive;270;0;;per inch
Exterior;Tires;Tires width;Tires width;EX_0003;numeric;mm;Positive;20;0;;per mm
Exterior;Tires;Ratio;Ratio;EX_0004;numeric;mm;Negative;0;0;;
Exterior;Spare tire;Spare tire;Repair kit;EX_1007;scale;;;0;0;true;vs. Kit
Exterior;Spare tire;Spare tire;Temporary;EX_0005;scale;;;0;200;;vs. Kit
Exterior;Spare tire;Spare tire;Full Size;EX_0006;scale;;;0;410;;vs. temporary
Exterior;Front illumination;Projection headlamp;Projection headlamp;EX_0007;binary;;;0;220;;vs. conventional
Exterior;Front illumination;LED headlamps;None;EX_1016;scale;;;0;0;true;vs. conventional
Exterior;Front illumination;LED headlamps;Partial;EX_0008;scale;;;0;2180;;vs. conventional
Exterior;Front illumination;LED headlamps;Full;EX_0009;scale;;;0;2630;;vs. conventional
Exterior;Front illumination;Welcome function;Welcome function;EX_0010;binary;;;0;50;;vs. none
Exterior;Front illumination;Auto Light Control;Auto Light Control;EX_0011;binary;;;0;120;;vs. none
Exterior;Front illumination;IHC (Intelligent high beam control);IHC (Intelligent high beam control);EX_0012;binary;;;0;410;;vs. none
Exterior;Front illumination;Electric height adjustment;Electric height adjustment;EX_0013;binary;;;0;50;;vs. Manual
Exterior;Front illumination;DRL;None;EX_1002;scale;;;0;0;true;vs. none
Exterior;Front illumination;DRL;Bulb;EX_0014;scale;;;0;140;;vs. none
Exterior;Front illumination;DRL;LED;EX_0015;scale;;;0;480;;vs. none
Exterior;Front illumination;LED decorative lights;LED decorative lights;EX_0016;binary;;;0;200;;vs. none
Exterior;Front illumination;Fog lamps;None;EX_1001;scale;;;0;0;true;vs. none
Exterior;Front illumination;Fog lamps;Bulb;EX_0017;scale;;;0;420;;vs. none
Exterior;Front illumination;Fog lamps;LED;EX_0018;scale;;;0;680;;vs. none
Exterior;Front illumination;LED side turn signal lamp;LED side turn signal lamp;EX_0019;binary;;;0;200;;vs. none
Exterior;Front illumination;FR dynamic turn signals;FR dynamic turn signals;EX_0020;binary;;;0;50;;vs. conventional
Exterior;Front illumination;Door courtesy lamp;Door courtesy lamp;EX_0021;binary;;;0;60;;vs. none
Exterior;Rear illumination;LED rear lamps;LED rear lamps;EX_0022;binary;;;0;640;;vs. none
Exterior;Rear illumination;Fog lamps;None;EX_1018;scale;;;0;0;true;vs. none
Exterior;Rear illumination;Fog lamps;Bulb;EX_0023;scale;;;0;420;;vs. none
Exterior;Rear illumination;Fog lamps;LED;EX_0024;scale;;;0;680;;vs. none
Exterior;Rear illumination;LED brake light;LED brake light;EX_0025;binary;;;0;50;;vs. none
Exterior;Rear illumination;RR dynamic turn signals ;RR dynamic turn signals ;EX_0026;binary;;;0;50;;vs. conventional
Exterior;Rear illumination;Corner Window Charging Indicator Light;Corner Window Charging Indicator Light;EX_0044;binary;;;0;200;;vs. none
Exterior;O/S mirror;Power mirrors;Power mirrors;EX_0027;binary;;;0;170;;vs. manual
Exterior;O/S mirror;Electric folding;Electric folding;EX_0028;binary;;;0;270;;vs. manual
Exterior;O/S mirror;Memory function;Memory function;EX_0029;binary;;;0;100;;vs. manual
Exterior;O/S mirror;Tilt down;None;EX_1012;scale;;;0;0;true;vs. manual
Exterior;O/S mirror;Tilt down;Right;EX_0030;scale;;;0;130;;vs. manual
Exterior;O/S mirror;Tilt down;Left;EX_1006;scale;;;0;130;;vs. manual
Exterior;O/S mirror;Tilt down;Both;EX_0031;scale;;;0;130;;vs. manual
Exterior;O/S mirror;Heated;Heated;EX_0032;binary;;;0;110;;vs. none
Exterior;O/S mirror;O/S electrochromic mirror (ECM);O/S electrochromic mirror (ECM);EX_0033;binary;;;0;320;;vs. none
Exterior;O/S handles;Flush type;Flush type;EX_0034;binary;;;0;300;;vs. conventional
Exterior;Sunroof;Sunroof;None;EX_1009;scale;;;0;0;true;vs. none
Exterior;Sunroof;Sunroof;Power compact;EX_0035;scale;;;0;2760;;vs. none
Exterior;Sunroof;Sunroof;Fixed glass roof;EX_0036;scale;;;0;3420;;vs. none
Exterior;Sunroof;Sunroof;Power panorama;EX_0037;scale;;;0;4040;;vs. none
Exterior;Roof rack;Roof rack;Roof rack;EX_0038;binary;;;0;450;;vs. none
Exterior;Rear spoiler;Rear spoiler;Rear spoiler;EX_0039;binary;;;0;350;;vs. none
Exterior;Shark antenna;Shark antenna;Shark antenna;EX_0040;binary;;;0;50;;vs. conventional
Exterior;Tailgate;Power;Power;EX_0041;binary;;;0;2000;;vs. none
Exterior;Tailgate;Hands Free;Hands Free;EX_0042;binary;;;0;550;;vs. none
Exterior;Dual exhaust pipes;Dual exhaust pipes;Dual exhaust pipes;EX_0043;binary;;;0;290;;vs. conventional
Interior;Seat Material;Seat Material;Fabric;IN_0001;scale;;;0;0;true;
Interior;Seat Material;Seat Material;Fabric + artificial leather;IN_0002;scale;;;0;730;;vs. fabric
Interior;Seat Material;Seat Material;Artificial leather;IN_0003;scale;;;0;1710;;vs. fabric
Interior;Seat Material;Seat Material;Leather;IN_0004;scale;;;0;3190;;vs. fabric
Interior;Door panel finish;Soft-touch (FR);Soft-touch (FR);IN_0005;binary;;;0;100;;vs. plastic
Interior;Door panel finish;Soft-touch (RR);Soft-touch (RR);IN_0006;binary;;;0;100;;vs. plastic
Interior;Dashboard finish;Soft-Touch;Soft-Touch;IN_0007;binary;;;0;100;;vs. plastic
Interior;FR seat adjustament;Power seat (Driver);Power seat (Driver);IN_0008;binary;;;0;600;;vs. none
Interior;FR seat adjustament;Power seat (Passenger);Power seat (Passenger);IN_0009;binary;;;0;600;;vs. none
Interior;FR seat adjustament;Power seat (RR left);Power seat (RR left);IN_0062;binary;;;0;600;;
Interior;FR seat adjustament;Power seat (RR right);Power seat (RR right);IN_0063;binary;;;0;600;;
Interior;FR seat adjustament;Manual lumbar adjusment (Driver);Manual lumbar adjusment (Driver);IN_0010;binary;;;0;80;;vs. none
Interior;FR seat adjustament;Manual lumbar adjusment (passenger);Manual lumbar adjusment (passenger);IN_0011;binary;;;0;50;;vs. none
Interior;FR seat adjustament;Electric lumbar adjusment (Driver);Electric lumbar adjusment (Driver);IN_0012;binary;;;0;150;;vs. none
Interior;FR seat adjustament;Electric lumbar adjusment (passenger);Electric lumbar adjusment (passenger);IN_0013;binary;;;0;150;;vs. none
Interior;FR seat adjustament;Leg power adjustment (driver);Leg power adjustment (driver);IN_0014;binary;;;0;150;;vs. none
Interior;FR seat adjustament;Leg power adjustment (passenger);Leg power adjustment (passenger);IN_0015;binary;;;0;150;;vs. none
Interior;FR seat adjustament;Memory function (Driver);Memory function (Driver);IN_0016;binary;;;0;300;;vs. none
Interior;FR seat adjustament;Memory function (Passenger);Memory function (Passenger);IN_0017;binary;;;0;300;;vs. none
Interior;FR seat adjustament;Memory function (RR);Memory function (RR);IN_0064;binary;;;0;600;;
Interior;FR seat adjustament;Welcome function (Driver);Welcome function (Driver);IN_0018;binary;;;0;100;;vs. none
Interior;Headrest adjustment;Front row headrest adjustment;Front row headrest adjustment;IN_0019;binary;;;0;20;;vs. none
Interior;Headrest adjustment;Second row headrest adjustment;Second row headrest adjustment;IN_0020;binary;;;0;20;;vs. none
Interior;RR seat adjustment;Reclining;Reclining;IN_0021;binary;;;0;260;;vs. none
Interior;RR seat adjustment;Split bench (60/40);Split bench (60/40);IN_0022;binary;;;0;350;;vs. fixed bench
Interior;RR seat adjustment;Split bench (4/2/4);Split bench (4/2/4);IN_0023;binary;;;0;270;;vs. fixed bench
Interior;RR seat adjustment;Luggage flat floor;Luggage flat floor;IN_0024;binary;;;0;570;;vs. fixed bench
Interior;Seat heating;Heated (Driver);Heated (Driver);IN_0025;binary;;;0;550;;vs. none
Interior;Seat heating;Heated (Passenger);Heated (Passenger);IN_0026;binary;;;0;550;;vs. none
Interior;Seat heating;Heating (RR seat);Heating (RR seat);IN_0027;binary;;;0;860;;vs. none
Interior;Seat ventilation;Ventilated (Driver);Ventilated (Driver);IN_0028;binary;;;0;600;;vs. none
Interior;Seat ventilation;Ventilated (Passenger);Ventilated (Passenger);IN_0029;binary;;;0;600;;vs. none
Interior;Seat ventilation;Ventilated (RR);Ventilated (RR);IN_0059;binary;;;0;600;;vs. none
Interior;Seat massage;Massage (driver);Massage (driver);IN_0030;binary;;;0;250;;vs. none
Interior;Seat massage;Massage (Passenger);Massage (Passenger);IN_0031;binary;;;0;250;;vs. none
Interior;Seat massage;Massage (RR);Massage (RR);IN_0065;binary;;;0;500;;
Interior;Seat massage;VIP seat (Passenger);VIP seat (Passenger);IN_0032;binary;;;0;250;;vs. none
Interior;Steering Wheel;Power Steering (EPS);Power Steering (EPS);IN_0033;binary;;;0;1080;;vs power steering
Interior;Steering Wheel;Steering Wheel;Fixed;IN_1013;scale;;;0;0;true;vs. none
Interior;Steering Wheel;Steering Wheel;Tilt;IN_0034;scale;;;0;110;;vs. none
Interior;Steering Wheel;Steering Wheel;Tilt & Telescopic;IN_0035;scale;;;0;330;;vs. none
Interior;Steering Wheel;Steering Wheel;Electric tilt & Telescopic;IN_0036;scale;;;0;570;;vs. none
Interior;Steering Wheel;Leather steering wheel;Leather steering wheel;IN_0037;binary;;;0;260;;vs. PVC
