brand;model;version;renavam_reference;model_year;production_year;is_active
Nissan;Kicks;Advance 1.0 TGDI DCT;NISSAN/KICKS ADVANCE AT;2026;2025;true
Nissan;Kicks;Exclusive 1.0 TGDI DCT;NISSAN/KICKS EXCLUSIV AT;2026;2025;true
Nissan;Kicks;Platinum 1.0 TGDI DCT;NISSAN/KICKS PLATINUM AT;2026;2025;true
Renault;Boreal;Evolution 1.3 TGDI DCT;RENAULT/BOREAL EVO;2026;2025;true
Renault;Boreal;Techno 1.3 TGDI DCT;RENAULT/BOREAL TECH;2026;2025;true
Renault;Boreal;Iconic 1.3 TGDI DCT;RENAULT/BOREAL ICO;2026;2025;true
Toyota;Corolla Cross;XR 2.0 CVT;TOYOTA/CCROSS XR 20;2026;2025;true
Geely;EX2;Max;I/GEELY EX2 MAX;2026;2025;true
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;2026;2025;true
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;2026;2025;true
Jaecoo;7;Comfort 1.5 TGDI PHEV DHT;0;2026;2026;true
Hyundai;Creta;Comfort 1.0 TGDI AT;HYUNDAI/CRETA1TF COMFORT;2026;2025;true
Hyundai;Creta;Comfort Safety  1.0 TGDI AT;HYUNDAI/CRETA1TF COMF SF;2026;2025;true
Hyundai;Creta;Limited 1.0 TGDI AT;HYUNDAI/CRETA1TF LIMITED;2026;2025;true
Hyundai;HB20;Comfort 1.0 MT;;2026;2025;true
Hyundai;HB20;Limited 1.0 MT;;2026;2025;true
Hyundai;HB20;Limited 1.0 TGDI AT;;2026;2025;true
Hyundai;HB20;Platinum 1.0 TGDI AT;;2026;2025;true
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;2026;2025;true
Jeep;Compass;Longitude 1.3 TGDI AT;"JEEP/COMPASS LONG T;JEEP/COMPASS LONGITUDE T";2026;2025;true
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;2026;2025;true
Jeep;Commander;Longitude 1.3 TGDI AT;JEEP/COMMANDER LONG T;2026;2025;true
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;0;2026;2026;true
Geely;Starship 7 ;Complete 1.5 PHEV DHT;;2026;2026;true
Geely;Starship 7 ;Inspire 1.5 PHEV DHT;;2026;2026;true
BYD;Yuan Pro;GS 1.5 PHEV DHT;;2026;2026;true
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;2026;2025;true
GAC;Aion V;Elite EV;I/GAC AION V ELITE;2026;2025;true
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;2026;2025;true
Jaecoo;5;Comfort 1.5 TGDI HEV DHT;;2026;2025;true
Jaecoo;5;Prestige 1.5 TGDI HEV DHT;;2026;2025;true
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;2026;2025;true
BYD;Song Pro;GS 1.5 PHEV DHT;"I/BYD SONG PRO GS DM;BYD/SONG PRO GS DM";2026;2025;true
BYD;Song Plus;Premium 1.5 TGDI PHEV DHT;I/BYD SONG PLUS PREM DM;2026;2025;true
Geely;EX5;Pro EV;I/GEELY EX5 PRO;2026;2025;true
Geely;EX5;Max EV;I/GEELY EX5 MAX;2026;2025;true
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;2026;2025;true
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;2026;2025;true
Leapmotor;C10;REEV;I/LPM C10 REEV E27;2026;2025;true
Jeep;Compass;Longitude 1.3 TGDI AT;"JEEP/COMPASS LONG T;JEEP/COMPASS LONGITUDE T";2026;2026;true
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;2026;2026;true
Jeep;Commander;Longitude 1.3 TGDI AT;JEEP/COMMANDER LONG T;2026;2026;true
Jeep;Commander;Overland 2.2 TD AT 4x4;JEEP/COMMANDER OVR TD;2026;2026;true
Jeep;Commander;Overland 1.3 TGDI AT;"JEEP/COMMANDER OVR T;JEEP/COMMANDER OVE 7 270";2026;2026;true
Jeep;Commander;Limited 1.3 TGDI AT;"JEEP/COMMANDER LIM T;JEEP/COMMANDER LIM 7 270";2026;2026;true
Jeep;Commander;Blackhawk Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER BLACKHAWK;2026;2026;true
Jeep;Renegade;Sport 1.3 TGDI AT;JEEP/RENEGADE SPT T FLEX;2026;2026;true
Jeep;Renegade;Altitude 1.3 TGDI AT;JEEP/RENEGADE ALTIT T270;2026;2026;true
Jeep;Renegade;Longitude 1.3 TGDI AT;JEEP/RENEGADE LGTD T270;2026;2026;true
Jeep;Renegade;Sahara 1.3 TGDI AT;JEEP/RENEGADE SAHARA;2026;2026;true
Jeep;Renegade;Willys 1.3 TGDI AT 4x4;JEEP/RENEGADE WILLYS 4X4;2026;2026;true
Jeep;Compass;Sport 1.3 TGDI AT;JEEP/COMPASS SPORT T;2026;2026;true
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;2026;2026;true
VW;Tera;1.0 MPI MT;VW/TERA MPI;2026;2026;true
VW;Tera;1.0 TGDI MT;VW/TERA TSI;2026;2026;true
VW;Tera;Comfort 1.0 TGDI AT;VW/TERA COMFORT TSI;2026;2026;true
VW;Tera;High 1.0 TGDI AT;VW/TERA HIGH TSI;2026;2026;true
VW;Nivus;Comfortline 1.0 TGDI AT;VW/NIVUS CL TSI;2026;2026;true
VW;Nivus;Highline 1.0 TGDI AT;VW/NIVUS HL TSI;2026;2026;true
VW;Nivus;GTS 1.4 TGDI AT;VW/NIVUS GTS;2026;2026;true
VW;Nivus;Sense 1.0 TGDI AT;VW/NIVUS SENSE TSI;2026;2026;true
VW;T-Cross;1.0 TGDI AT;VW/T CROSS TSI;2026;2026;true
VW;T-Cross;Comfortline 1.0 TGDI AT;VW/T CROSS CL TSI;2026;2026;true
VW;T-Cross;Highline 1.4 TGDI AT;VW/T CROSS HL TSI;2026;2026;true
VW;T-Cross;Extreme 1.4 TGDI AT;VW/T CROSS EXTREME TSI;2026;2026;true
VW;Taos;Comfortline 1.4 TGDI AT;I/VW TAOS CL TSI;2026;2026;true
VW;Taos;Highline 1.4 TGDI AT;I/VW TAOS HL TSI;2026;2026;true
VW;T-Cross;Sense 1.0 TGDI AT;VW/T CROSS SENSE TSI;2026;2025;true
VW;Tiguan;Allspace R-Line 2.0 TGDI AT;I/VW TIGUAN ALLSPACE RL;2025;2025;true
Honda;HR-V;EX 1.5 CVT;"HONDA/HR-V EX;HONDA/HR-V EX HS";2026;2025;true
Honda;HR-V;EXL 1.5 CVT;"HONDA/HR-V EXL;HONDA/HR-V EXL HS";2026;2025;true
Honda;HR-V;Advance 1.5 TGDI CVT;HONDA/HR-V ADVANCE;2026;2025;true
Honda;HR-V;Touring  1.5 TGDI CVT;HONDA/HR-V TOURING;2026;2025;true
Nissan;Kicks;Sense 1.0 TGDI DCT;NISSAN/KICKS SENSE AT;2026;2025;true
Nissan;Kicks;Advance 1.0 TGDI DCT;NISSAN/KICKS ADVANCE AT;2026;2025;true
Nissan;Kicks;Exclusive 1.0 TGDI DCT;NISSAN/KICKS EXCLUSIV AT;2026;2025;true
GM;Spark EUV;BEV;I/CHEV SPARK EUV ACTIV;2026;2025;true
GAC;Aion Y;Premium;I/GAC AION Y PREMIUM;2026;2025;true
GAC;Aion Y;Elite BEV;I/GAC AION Y ELITE;2026;2025;true
Geely;EX5;Pro PHEV;;2026;2026;true
Omoda;C7;Luxury 1.5 TGDI PHEV DHT;;2026;2026;true
Omoda;C7;Prestige 1.5 TGDI PHEV DHT;;2026;2026;true
Fiat;Pulse;Drive 1.3 MT;FIAT/PULSE DRIVE MT;2026;2026;true
Fiat;Pulse;Drive 1.3 AT;FIAT/PULSE DRIVE AT;2026;2026;true
Fiat;Pulse;1.0 TGDI AT;FIAT/PULSE TURBO 200;2026;2026;true
Fiat;Pulse;Audace 1.0 TGDI MHEV AT;FIAT/PULSE AUDACE HYB;2026;2026;true
Fiat;Pulse;Impetus 1.0 TGDI MHEV AT;FIAT/PULSE IMPETUS HYB;2026;2026;true
Fiat;Pulse;Abarth 1.3 TGDI AT;FIAT/PULSE ABARTH 270;2026;2026;true
Fiat;Fastback;1.0 TGDI AT;FIAT/FASTBACK TURBO 200;2026;2026;true
Fiat;Fastback;Abarth 1.3 TGDI AT;FIAT/FASTBACK ABARTH 270;2026;2026;true
Fiat;Fastback;Audace 1.0 TGDI MHEV AT;FIAT/FASTBACK AUDACE HYB;2026;2026;true
Fiat;Fastback;Impetus 1.0 TGDI MHEV AT;FIAT/FASTBACK IMPETUS HY;2026;2026;true
Fiat;Fastback;Limited Edition 1.3 TGDI AT;FIAT/FASTBACK LIMITED ED;2026;2026;true
Chery;Tiggo 7;Sport 1.5 TCI CVT;CAOACHERY/TIGGO7 SPORT;2026;2025;true
Chery;Tiggo 7;Pro Max Drive 1.6 TGDI DCT;CAOACHERY/TIGGO7 PRO16TA;2026;2025;true
Chery;Tiggo 7;Pro 1.5 TCI HEV CVT;CAOACHERY/TIGGO7 PRO HA;2026;2025;true
Chery;Tiggo 8;Pro 1.6 TGDI DCT;CAOACHERY/TIGGO8 16TA;2026;2025;true
Ford;Territory;Titanium 1.5 TGDI AT;I/FORD TERRITORY 1.5T;2026;2025;true
GM;Tracker;LT 1.0 TGDI AT;"I/CHEV TRACKER T A LT;CHEV/TRACKER T A LT";2026;2025;true
GM;Tracker;LTZ 1.0 TGDI AT;CHEV/TRACKER T A LTZ;2026;2025;true
GM;Tracker;Premier 1.2 TGDI AT;"I/CHEV TRACKER 12T A PR;CHEV/TRACKER 12T A PR";2026;2025;true
GM;Tracker;RS 1.2 TGDI AT;CHEV/TRACKER 12T A RS;2026;2025;true
Honda;ZR-V;Touring 2.0 CVT;I/HONDA ZR-V TOURING;2025;2025;true
Hyundai;Creta;N Line 1.0 TGDI AT;HYUNDAI/CRETA1TF NLINE;2026;2025;true
Hyundai;Creta;Comfort 1.0 TGDI AT;HYUNDAI/CRETA1TF COMFORT;2026;2025;true
Hyundai;Creta;Comfort Safety  1.0 TGDI AT;HYUNDAI/CRETA1TF COMF SF;2026;2025;true
Hyundai;HB20;Limited 1.0 TGDI AT;;2026;2025;true
Hyundai;HB20;Platinum 1.0 TGDI AT;;2026;2025;true
Jaecoo;8;Prestige 1.5 TGDI PHEV DHT;;2026;2025;true
Jaecoo;8;Legend 1.5 TGDI PHEV DHT;;2026;2025;true
GWM;Wey 07;PHEV AWD;I/GWM WEY 07;2026;2026;true
Jaecoo;8;Prestige 1.5 TGDI PHEV DHT;;2026;2025;true
Jaecoo;5;Prestige 1.5 TGDI HEV DHT;;2026;2025;true
Jaecoo;5;Prestige EV;;2026;2025;true
BYD;Dolphin;Mini GS EV;"I/BYD DOLPHIN MINI GS5EV;BYD/DOLPHIN MINI GS5EV";2027;2026;true
BYD;Dolphin;Mini GL EV;BYD/DOLPHIN MINI GL5EV;2027;2026;true
BYD;Dolphin;GS EV;I/BYD DOLPHIN GS 180EV;2027;2026;true
BYD;Song Plus;GS 1.5 TGDI PHEV DHT;I/BYD SONG PLUS GS DM;2027;2026;true
GWM;Haval H6;19 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV 19;I/GWM HAVAL H6 PHEV19;GWM/HAVAL H6 PHEV19";2026;2026;true
GWM;Haval H6;35 1.5 TGDI PHEV DHT;"I/GWM HAVAL H6 PHEV;I/GWM HAVAL H6 PHEV35;I/GWM HAVAL H6 PREM PHEV;GWM/HAVAL H6 PHEV35";2026;2026;true
GWM;Haval H6;GT 1.5 TGDI PHEV DHT;I/GWM HAVAL H6 GT;2026;2026;true
GWM;Haval H6;2 1.5 TGDI HEV DHT;"GWM/HAVAL H6 HEV2;I/GWM HAVAL H6 HEV2";2026;2026;true
Ford;Territory;Titanium 1.5 TGDI AT;I/FORD TERRITORY 1.5T;2026;2025;true
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;2026;2025;true
Geely;EX5;Pro PHEV;;2026;2025;true
Geely;EX5;Pro PHEV;;2026;2026;true
Jaecoo;7;Comfort 1.5 TGDI PHEV DHT;0;2026;2026;true
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;2026;2025;true
Omoda;E5;EV;I/OMODA E5;2026;2025;true
VW;Tera;1.0 MPI MT;VW/TERA MPI;2026;2026;true
VW;Tera;1.0 TGDI MT;VW/TERA TSI;2026;2026;true
VW;Tera;Comfort 1.0 TGDI AT;VW/TERA COMFORT TSI;2026;2026;true
VW;Tera;High 1.0 TGDI AT;VW/TERA HIGH TSI;2026;2026;true
VW;Nivus;Sense 1.0 TGDI AT;VW/NIVUS SENSE TSI;2026;2026;true
VW;T-Cross;1.0 TGDI AT;VW/T CROSS TSI;2026;2026;true
VW;T-Cross;Comfortline 1.0 TGDI AT;VW/T CROSS CL TSI;2026;2026;true
VW;T-Cross;Highline 1.4 TGDI AT;VW/T CROSS HL TSI;2026;2026;true
Nissan;Kicks;Sense 1.0 TGDI DCT;NISSAN/KICKS SENSE AT;2026;2025;true
Nissan;Kicks;Advance 1.0 TGDI DCT;NISSAN/KICKS ADVANCE AT;2026;2025;true
Nissan;Kicks;Exclusive 1.0 TGDI DCT;NISSAN/KICKS EXCLUSIV AT;2026;2025;true
Nissan;Kicks;Platinum 1.0 TGDI DCT;NISSAN/KICKS PLATINUM AT;2026;2025;true
Nissan;Kait;Sense Plus 1.6 CVT;NISSAN/KAIT SENSE CVT;2026;2025;true
Nissan;Kait;Active 1.6 CVT;;2026;2025;true
Nissan;Kait;Advance Plus 1.6 CVT;NISSAN/KAIT ADVANCE CVT;2026;2025;true
Nissan;Kait;Exclusive 1.6 CVT;NISSAN/KAIT EXCLUSIV CVT;2026;2025;true
Nissan;Kait;Sense 1.6 CVT;NISSAN/KAIT SENSE CVT;2026;2025;true
Nissan;Kait;Advance 1.6 CVT;NISSAN/KAIT ADVANCE CVT;2026;2025;true
MG;S5;Comfort;I/SAIC MGS5 EV 62KWH COM;2026;2025;true
MG;S5;Luxury;I/SAIC MGS5 EV 49KWH LUX;2026;2025;true
MG;MG4;Comfort;I/MG MG4 64 KWH COM;2026;2025;true
MG;MG4;Luxury;I/MG MG4 64 KWH LUX;2026;2025;true
MG;MG4;X-Power;I/MG MG4 64 KWH AWD;2026;2025;true
Leapmotor;C10;REEV;I/LPM C10 REEV E27;2026;2025;true
GAC;GS4;Premium 2.0 HEV CVT;I/GAC GS4 PREMIUM;2026;2025;true
GAC;GS4;Elite 2.0 HEV CVT;I/GAC GS4 ELITE;2026;2025;true
GAC;Aion V;Elite EV;I/GAC AION V ELITE;2026;2025;true
GAC;Aion Y;Premium;I/GAC AION Y PREMIUM;2026;2025;true
GAC;Aion Y;Elite BEV;I/GAC AION Y ELITE;2026;2025;true
Fiat;Pulse;Drive 1.3 MT;FIAT/PULSE DRIVE MT;2026;2026;true
Fiat;Pulse;Drive 1.3 AT;FIAT/PULSE DRIVE AT;2026;2026;true
Fiat;Pulse;1.0 TGDI AT;FIAT/PULSE TURBO 200;2026;2026;true
Fiat;Pulse;Audace 1.0 TGDI MHEV AT;FIAT/PULSE AUDACE HYB;2026;2026;true
Fiat;Pulse;Impetus 1.0 TGDI MHEV AT;FIAT/PULSE IMPETUS HYB;2026;2026;true
Fiat;Pulse;Abarth 1.3 TGDI AT;FIAT/PULSE ABARTH 270;2026;2026;true
Fiat;Fastback;Abarth 1.3 TGDI AT;FIAT/FASTBACK ABARTH 270;2026;2026;true
Fiat;Fastback;Audace 1.0 TGDI MHEV AT;FIAT/FASTBACK AUDACE HYB;2026;2026;true
Fiat;Fastback;Impetus 1.0 TGDI MHEV AT;FIAT/FASTBACK IMPETUS HY;2026;2026;true
Fiat;Fastback;Limited Edition 1.3 TGDI AT;FIAT/FASTBACK LIMITED ED;2026;2026;true
Hyundai;Creta;Comfort Safety  1.0 TGDI AT;HYUNDAI/CRETA1TF COMF SF;2027;2026;true
Hyundai;Creta;Limited 1.0 TGDI AT;HYUNDAI/CRETA1TF LIMITED;2027;2026;true
Hyundai;Creta;Platinum 1.0 TGDI AT;HYUNDAI/CRETA1TF PLATINU;2027;2026;true
Hyundai;Creta;Ultimate 1.6 TGDI DCT;HYUNDAI/CRETA16G ULTIMTE;2027;2026;true
Hyundai;Creta;N Line 1.6 TGDI AT;HYUNDAI/CRETA16F NLINE;2027;2026;true
Geely;EX5;Pro EV;I/GEELY EX5 PRO;2026;2025;true
Geely;EX5;Max EV;I/GEELY EX5 MAX;2026;2025;true
Geely;EX2;Pro;I/GEELY EX2 PRO;2026;2025;true
Geely;EX2;Max;I/GEELY EX2 MAX;2026;2025;true
Renault;Boreal;Evolution 1.3 TGDI DCT;RENAULT/BOREAL EVO;2026;2025;true
Renault;Boreal;Iconic 1.3 TGDI DCT;RENAULT/BOREAL ICO;2026;2025;true
Renault;Boreal;Techno 1.3 TGDI DCT;RENAULT/BOREAL TECH;2026;2025;true
Omoda;O9;Prestige 1.5 TGDI PHEV DHT AWD;;2027;2027;true
Jetour;S06 ;Advance 1.5 TGDI PHEV DHT;I/JETOUR S06 DM ADVANCE;2027;2026;true
Jetour;S06 ;Premium  1.5 TGDI PHEV DHT;I/JETOUR S06 DM PREMIUM;2027;2026;true
Jetour;T1;Advance 1.5 TGDI PHEV DHT;;2027;2026;true
Jetour;T1;Premium 1.5 TGDI PHEV DHT;;2027;2026;true
Jetour;T2;Advance 1.5 TGDI PHEV DHT;;2026;2025;true
Jetour;T2;Premium 1.5 TGDI PHEV DHT;;2027;2026;true
GAC;GS3;Premium 1.5 TGDI DCT;;2027;2026;true
GAC;GS3;Elite 1.5 TGDI DCT;I/GAC GS3 ELITE;2027;2026;true
Changan;Uni-t;Infinity 1.5 TGDI DCT;I/CHANGAN UNI-T;2027;2026;true
BYD;Song Plus;GS 1.5 TGDI PHEV DHT;I/BYD SONG PLUS GS DM;2027;2026;true
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;2026;2025;true
Omoda;C5;Luxury 1.5 TGDI HEV DHT;I/OMODA 5 HEV LUXURY;2026;2025;true
Omoda;C5;Prestige 1.5 TGDI HEV DHT;I/OMODA 5 HEV PRESTIGE;2026;2025;true
GWM;Ora 03;Skin EV;I/GWM ORA 03 SKIN BEV48;2026;2025;true
GWM;Ora 03;GT EV;I/GWM ORA 03 GT BEV63;2026;2025;true
GWM;Ora 03;EV58;I/GWM ORA 03 BEV58;2027;2026;true
GWM;Ora 03;EV58;I/GWM ORA 03 BEV58;2026;2025;true
GWM;Haval H9;Exclusive 2.4 TD AT;"I/GWM HAVAL H9 EXC;GWM/HAVAL H9 EXC";2026;2026;true
GWM;Wey 07;PHEV AWD;I/GWM WEY 07;2026;2026;true
Jetour;S06 ;Advance 1.5 TGDI PHEV DHT;I/JETOUR S06 DM ADVANCE;2027;2026;true
Jetour;S06 ;Premium  1.5 TGDI PHEV DHT;I/JETOUR S06 DM PREMIUM;2027;2026;true
Jetour;T1;Advance 1.5 TGDI PHEV DHT;I/JETOUR T1 I-DM ADVANCE;2027;2026;true
Jetour;T1;Premium 1.5 TGDI PHEV DHT;I/JETOUR T1 I-DM PREMIUM;2027;2026;true
Jetour;T2;Advance 1.5 TGDI PHEV DHT;I/JETOUR T2 I-DM ADVANCE;2026;2025;true
Jetour;T2;Premium 1.5 TGDI PHEV DHT;I/JETOUR T2 I-DM PREMIUM;2027;2026;true
Toyota;Corolla Cross;XR 2.0 CVT;TOYOTA/CCROSS XR 20;2026;2025;true
Toyota;Corolla Cross;XRE 2.0 CVT;TOYOTA/CCROSS XRE 20;2026;2025;true
Toyota;Corolla Cross;XRX 2.0 CVT;TOYOTA/CCROSS XRX 20;2026;2025;true
Toyota;Corolla Cross;XRX 1.8 HEV CVT;TOYOTA/CCROSS XRX HYBRID;2026;2025;true
Hyundai;Creta;Comfort Safety  1.0 TGDI AT;HYUNDAI/CRETA1TF COMF SF;2027;2026;true
Hyundai;Creta;Limited 1.0 TGDI AT;HYUNDAI/CRETA1TF LIMITED;2027;2026;true
Hyundai;Creta;Ultimate 1.6 TGDI DCT;HYUNDAI/CRETA16G ULTIMTE;2027;2026;true
MG;S5;Comfort;I/SAIC MGS5 EV 62KWH COM;2026;2025;true
MG;S5;Luxury;I/SAIC MGS5 EV 49KWH LUX;2026;2025;true
Leapmotor;B10;EV;0;2026;2025;true
Jeep;Renegade;Altitude 1.3 TGDI AT;JEEP/RENEGADE ALTIT T270;2027;2026;true
Jeep;Renegade;Longitude 1.3 TGDI AT MHEV;"JEEP/RENEGADE LGTD T270;JEEP/RENEGADE LONGIT HYB";2027;2026;true
Jeep;Renegade;Sahara 1.3 TGDI AT MHEV;JEEP/RENEGADE SAHARA;2027;2026;true
Jeep;Renegade;Willys 1.3 TGDI AT 4x4;JEEP/RENEGADE WILLYS 4X4;2027;2026;true
Jeep;Compass;Longitude 1.3 TGDI AT;"JEEP/COMPASS LONG T;JEEP/COMPASS LONGITUDE T";2026;2026;true
Jeep;Compass;Serie S 1.3 TGDI AT;JEEP/COMPASS SERIE S T;2026;2026;true
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;2026;2026;true
Jeep;Commander;Longitude 1.3 TGDI AT;JEEP/COMMANDER LONG T;2027;2026;true
Jeep;Commander;Limited 1.3 TGDI AT MHEV;"JEEP/COMMANDER LIM T;JEEP/COMMANDER LIM 7 270";2027;2026;true
Jeep;Commander;Overland 1.3 TGDI AT MHEV;"JEEP/COMMANDER OVR T;JEEP/COMMANDER OVE 7 270;JEEP/COMMANDER OVER HYB";2027;2026;true
Jeep;Commander;Overland 2.2 TD AT 4x4;JEEP/COMMANDER OVR TD;2027;2026;true
Jeep;Commander;Blackhawk Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER BLACKHAWK;2027;2026;true
Nissan;Kicks;Sense 1.0 TGDI DCT;NISSAN/KICKS SENSE AT;2026;2025;true
Nissan;Kait;Sense 1.6 CVT;NISSAN/KAIT SENSE CVT;2026;2025;true
Nissan;Kait;Sense Plus 1.6 CVT;NISSAN/KAIT SENSE CVT;2026;2025;true
Nissan;Kait;Advance 1.6 CVT;NISSAN/KAIT ADVANCE CVT;2026;2025;true
Nissan;Kait;Advance Plus 1.6 CVT;NISSAN/KAIT ADVANCE CVT;2026;2025;true
Geely;EX5;Pro 1.5 PHEV DHT;;2027;2026;true
Geely;EX5;Max 1.5 PHEV DHT;;2027;2026;true
Geely;EX5;Ultra 1.5 PHEV DHT;;2027;2026;true
VW;T-Cross;Highline 1.4 TGDI AT;VW/T CROSS HL TSI;2026;2026;true
VW;T-Cross;Extreme 1.4 TGDI AT;VW/T CROSS EXTREME TSI;2026;2026;true
Omoda;E5;Comfort BEV;;2027;2026;true
Jaecoo;5;Luxury EV;;2027;2026;true
Omoda;E5;Prestige BEV;;2027;2026;true
GM;Spark EUV;BEV;I/CHEV SPARK EUV ACTIV;2026;2025;true
BYD;Yuan Plus;GS EV AWD;I/BYD YUAN PLUS GS 310EV;2027;2026;true
BYD;Dolphin;SE EV;I/BYD DOLPHIN SE 290EV;2027;2026;true
Chery;Tiggo 5X;Pro 1.5 TCI CVT;CAOACHERY/TIGGO5X PRO;2027;2026;true
Chery;Tiggo 5X;Sport 1.5 TCI CVT;CAOACHERY/TIGGO5X SPORT;2027;2026;true
VW;Tiguan;R-Line 2.0 TGDI AT;I/VW TIGUAN R LINE;2026;2026;true
Lepas;L4;v1 1.5 TGDI HEV DHT;;2027;2027;true
Lepas;L4;v1+ 1.5 TGDI HEV DHT;;2027;2027;true
Lepas;L4;v1 EV50;;2027;2027;true
Lepas;L4;v1+ EV67;;2027;2027;true
Lepas;L4;v2 1.5 TGDI HEV DHT;;2027;2027;true
Lepas;L4;v2+ 1.5 TGDI HEV DHT;;2027;2027;true
Lepas;L6;v1 1.5 TGDI PHEV DHT;;2027;2027;true
Lepas;L6;v1+ 1.5 TGDI PHEV DHT;;2027;2027;true
